title,url,category,tags,description
The Trevor Project,https://www.thetrevorproject.org/,Mental Health,lgbtq;crisis;mental_health,LGBTQ+ youth support for crises
National Suicide Prevention Lifeline,https://988lifeline.org/,Mental Health,crisis;mental_health,General crisis support
Trans Lifeline,https://translifeline.org/,Mental Health,trans;lgbtq;crisis;mental_health,Crisis support for transgender people
National Alliance on Mental Illness (NAMI),https://www.nami.org/,Mental Health, crisis;resources,Provides resources and chats for people in need
GLAAD,https://www.glaad.org/,LGBTQ Legal Support,legal;lgbtq,LGBTQ media and advocacy
Human Rights Campaign (HRC),https://www.hrc.org/,LGBTQ Legal Support,legal;lgbtq;resources,Advocacy resources and legal support
Lambda Legal,https://lambdalegal.org/,LGBTQ Legal Support,legal;lgbtq,Advocacy and legal support for LGBTQ people and HIV patients
PronounDB,https://pronoundb.org/,Prounoun Resources,pronouns;trans;lgbtq;resources,Allows users to keep track of pronouns
Prounouns.page,https://en.pronouns.page/,Pronoun Resources,pronouns;trans;lgbtq;resources,Create cards with information such as name and pronouns (this bot integrates this resource)
General Resource Library (Cambridge),https://dictionary.cambridge.org/us/dictionary/english/neopronoun,Education,education;dictionary;pronouns;neopronouns;trans,Useful dictionary definition and explaination for neopronouns
Understanding Pronouns (University of Oregon),https://studentlife.uoregon.edu/pronouns,Education,education;pronouns;trans, A good article on pronouns

